x,y,name
1,1,wool_colored_black
2,1,wool_colored_orange
3,1,wool_colored_yellow
4,1,wool_colored_lime
5,1,wool_colored_green
6,1,wool_colored_cyan
7,1,wool_colored_light_blue
8,1,wool_colored_blue
9,1,wool_colored_purple
10,1,wool_colored_magenta
11,1,wool_colored_pink
12,1,wool_colored_brown
13,1,wool_colored_black
14,1,wool_colored_gray
15,1,wool_colored_silver
16,1,wool_colored_white

1,2,hardened_clay_stained_black
2,2,hardened_clay_stained_orange
3,2,hardened_clay_stained_yellow
4,2,hardened_clay_stained_lime
5,2,hardened_clay_stained_green
6,2,hardened_clay_stained_cyan
7,2,hardened_clay_stained_light_blue
8,2,hardened_clay_stained_blue
9,2,hardened_clay_stained_purple
10,2,hardened_clay_stained_magenta
11,2,hardened_clay_stained_pink
12,2,hardened_clay_stained_brown
13,2,hardened_clay_stained_black
14,2,hardened_clay_stained_gray
15,2,hardened_clay_stained_silver
16,2,hardened_clay_stained_white
17,2,hardened_clay

1,3,glass_black
2,3,glass_orange
3,3,glass_yellow
4,3,glass_lime
5,3,glass_green
6,3,glass_cyan
7,3,glass_light_blue
8,3,glass_blue
9,3,glass_purple
10,3,glass_magenta
11,3,glass_pink
12,3,glass_brown
13,3,glass_black
14,3,glass_gray
15,3,glass_silver
16,3,glass_white
17,3,glass

1,4,glass_pane_top_black
2,4,glass_pane_top_orange
3,4,glass_pane_top_yellow
4,4,glass_pane_top_lime
5,4,glass_pane_top_green
6,4,glass_pane_top_cyan
7,4,glass_pane_top_light_blue
8,4,glass_pane_top_blue
9,4,glass_pane_top_purple
10,4,glass_pane_top_magenta
11,4,glass_pane_top_pink
12,4,glass_pane_top_brown
13,4,glass_pane_top_black
14,4,glass_pane_top_gray
15,4,glass_pane_top_silver
16,4,glass_pane_top_white
17,4,glass_pane_top

1,6,grass_side
2,6,grass_side_snowed
3,6,dirt_podzol_side
3,6,mycelium_side
4,6,grass_side_overlay
5,6,grass_top
6,6,dirt_podzol_top
3,6,mycelium_top
1,7,dirt
2,7,coarse_dirt
3,7,farmland_dry
4,7,farmland_wet


6,6,cobblestone
7,6,cobblestone_mossy
8,6,stone
9,6,gravel
6,7,stone_andesite
7,7,stone_andesite_smooth
8,7,stone_diorite
9,7,stone_diorite_smooth
10,7,stone_granite
11,7,stone_granite_smooth
6,8,stonebrick
7,8,stonebrick_carved
8,8,stonebrick_cracked
9,8,stonebrick_mossy
10,8,stone_slab_side
11,8,stone_slab_top

1,10,sand
2,10,sandstone_normal
3,10,sandstone_smooth
4,10,sandstone_carved
5,10,sandstone_bottom
6,10,sandstone_top

1,11,red_sand
2,11,red_sandstone_normal
3,11,red_sandstone_smooth
4,11,red_sandstone_carved
5,11,red_sandstone_bottom
6,11,red_sandstone_top

1,13,log_oak
2,13,log_birch
3,13,log_spruce
4,13,log_big_oak
5,13,log_acacia
6,13,log_jungle

1,14,log_oak_top
2,14,log_birch_top
3,14,log_spruce_top
4,14,log_big_oak_top
5,14,log_acacia_top
6,14,log_jungle_top

1,15,planks_oak
2,15,planks_birch
3,15,planks_spruce
4,15,planks_big_oak
5,15,planks_acacia
6,15,planks_jungle

1,16,door_oak_upper
2,16,door_birch_upper
3,16,door_spruce_upper
4,16,door_big_oak_upper
5,16,door_acacia_upper
6,16,door_jungle_upper

1,17,door_oak_lower
2,17,door_birch_lower
3,17,door_spruce_lower
